date,open,high,low,close,volume,amount,pctChg,turn
2024-06-20,36.88292426,36.95319418,36.46130474,36.46130474,36478992,1525392591.04,-1.1667,0.3389
2024-06-21,36.44373726,36.73360068,36.29441368,36.60184458,38505452,1600502330.31,0.3854,0.3578
2024-06-24,36.47887222,36.9356267,36.20657628,36.7160332,44592791,1856756643.57,0.312,0.4143
2024-06-25,36.70724946,36.99711288,36.39981856,36.4964397,38283591,1598362559.09,-0.5981,0.3557
2024-06-26,36.43495352,36.73360068,36.26806246,36.5842771,26506064,1100552480.63,0.2407,0.2463
2024-06-27,36.46130474,36.57549336,36.2329275,36.38225108,36797498,1525115714.91,-0.5522,0.3419
2024-06-28,36.3207649,36.8038706,36.24171124,36.32954864,39934516,1661152477.79,-0.1449,0.371
2024-07-01,36.37346734,36.60184458,35.69711936,36.55792588,47419754,1949715776.52,0.6286,0.4406
2024-07-02,36.37346734,37.5504885,36.3646836,37.04103158,56885747,2404908550.73,1.3215,0.5285
2024-07-03,37.04981532,37.26940882,36.81265434,37.12886898,29574788,1248330594.75,0.2371,0.2748
2024-07-04,37.12008524,37.38359744,36.85657304,36.87414052,32485145,1369924728.97,-0.6861,0.3018
2024-07-05,36.8477893,37.12008524,35.99576652,36.11873888,52671766,2180477666.29,-2.0486,0.4894
2024-07-08,35.9254966,36.32954864,35.73225432,35.87279416,33954844,1388961718.88,-0.6809,0.3155
2024-07-09,35.86401042,36.53157466,35.53901204,36.47008848,38140275,1565430221.59,1.665,0.3544
2024-07-10,36.07482018,36.83022182,36.07482018,36.76873564,36127314,1507496306.7,0.8189,0.3357
2024-07-11,37.12886898,37.32211126,36.81265434,36.83900556,37556984,1582861429.22,0.1911,0.349
2024-07-12,36.891708,37.64710964,36.891708,37.48900232,49569726,2110496360.66,1.7644,0.4606
2024-07-15,37.4187324,37.75251452,37.31332752,37.35724622,35484792,1513495679.15,-0.3515,0.3297
2024-07-16,36.891708,36.98832914,35.73225432,36.18022506,93998504,3870524306.94,-3.1507,0.8734
2024-07-17,36.2329275,37.26062508,36.2329275,37.14643646,77840627,3268159910.88,2.6706,0.7232
2024-07-18,37.05859906,37.45386736,36.85657304,37.21670638,51362418,2175992699.2,0.1892,0.4772
2024-07-19,37.21670638,37.9018381,37.0673828,37.79643322,61077539,2610070264.81,1.5577,0.5675
2024-07-22,37.8579194,37.96332428,37.45386736,37.770082,44056204,1890312952.56,-0.0697,0.4093
2024-07-23,37.73494704,37.97210802,37.57683972,37.58562346,45978967,1978447934.56,-0.4884,0.4272
2024-07-24,37.5944072,37.79643322,37.1991389,37.38359744,38609543,1644933089.81,-0.5375,0.3587
2024-07-25,37.32211126,37.61197468,37.09373402,37.39238118,44047429,1874557285.11,0.0235,0.4093
2024-07-26,37.4561291,37.9567578,37.0920355,37.40151506,51037796,2099407783.57,0.0243,0.4742
2024-07-29,37.39241272,37.89304142,37.32869634,37.61086888,30564969,1264082989.54,0.5597,0.284
2024-07-30,37.57445952,37.7291993,37.37420804,37.61997122,29692239,1224450780.96,0.0242,0.2759
